,Country,Region
0,Switzerland,Western Europe
1,Iceland,Western Europe
2,Denmark,Western Europe
3,Norway,Western Europe
4,Canada,North America
5,Finland,Western Europe
6,Netherlands,Western Europe
7,Sweden,Western Europe
8,New Zealand,Australia and New Zealand
9,Australia,Australia and New Zealand
10,Israel,Middle East and Northern Africa
11,Costa Rica,Latin America and Caribbean
12,Austria,Western Europe
13,Mexico,Latin America and Caribbean
14,United States,North America
15,Brazil,Latin America and Caribbean
16,Luxembourg,Western Europe
17,Ireland,Western Europe
18,Belgium,Western Europe
19,United Arab Emirates,Middle East and Northern Africa
20,United Kingdom,Western Europe
21,Oman,Middle East and Northern Africa
22,Venezuela,Latin America and Caribbean
23,Singapore,Southeastern Asia
24,Panama,Latin America and Caribbean
25,Germany,Western Europe
26,Chile,Latin America and Caribbean
27,Qatar,Middle East and Northern Africa
28,France,Western Europe
29,Argentina,Latin America and Caribbean
30,Czech Republic,Central and Eastern Europe
31,Uruguay,Latin America and Caribbean
32,Colombia,Latin America and Caribbean
33,Thailand,Southeastern Asia
34,Saudi Arabia,Middle East and Northern Africa
35,Spain,Western Europe
36,Malta,Western Europe
37,Taiwan,Eastern Asia
38,Kuwait,Middle East and Northern Africa
39,Suriname,Latin America and Caribbean
40,Trinidad and Tobago,Latin America and Caribbean
41,El Salvador,Latin America and Caribbean
42,Guatemala,Latin America and Caribbean
43,Uzbekistan,Central and Eastern Europe
44,Slovakia,Central and Eastern Europe
45,Japan,Eastern Asia
46,South Korea,Eastern Asia
47,Ecuador,Latin America and Caribbean
48,Bahrain,Middle East and Northern Africa
49,Italy,Western Europe
50,Bolivia,Latin America and Caribbean
51,Moldova,Central and Eastern Europe
52,Paraguay,Latin America and Caribbean
53,Kazakhstan,Central and Eastern Europe
54,Slovenia,Central and Eastern Europe
55,Lithuania,Central and Eastern Europe
56,Nicaragua,Latin America and Caribbean
57,Peru,Latin America and Caribbean
58,Belarus,Central and Eastern Europe
59,Poland,Central and Eastern Europe
60,Malaysia,Southeastern Asia
61,Croatia,Central and Eastern Europe
62,Libya,Middle East and Northern Africa
63,Russia,Central and Eastern Europe
64,Jamaica,Latin America and Caribbean
65,North Cyprus,Western Europe
66,Cyprus,Western Europe
67,Algeria,Middle East and Northern Africa
68,Kosovo,Central and Eastern Europe
69,Turkmenistan,Central and Eastern Europe
70,Mauritius,Sub-Saharan Africa
71,Hong Kong,Eastern Asia
72,Estonia,Central and Eastern Europe
73,Indonesia,Southeastern Asia
74,Vietnam,Southeastern Asia
75,Turkey,Middle East and Northern Africa
76,Kyrgyzstan,Central and Eastern Europe
77,Nigeria,Sub-Saharan Africa
78,Bhutan,Southern Asia
79,Azerbaijan,Central and Eastern Europe
80,Pakistan,Southern Asia
81,Jordan,Middle East and Northern Africa
82,Montenegro,Central and Eastern Europe
83,China,Eastern Asia
84,Zambia,Sub-Saharan Africa
85,Romania,Central and Eastern Europe
86,Serbia,Central and Eastern Europe
87,Portugal,Western Europe
88,Latvia,Central and Eastern Europe
89,Philippines,Southeastern Asia
90,Somaliland region,Sub-Saharan Africa
91,Morocco,Middle East and Northern Africa
92,Macedonia,Central and Eastern Europe
93,Mozambique,Sub-Saharan Africa
94,Albania,Central and Eastern Europe
95,Bosnia and Herzegovina,Central and Eastern Europe
96,Lesotho,Sub-Saharan Africa
97,Dominican Republic,Latin America and Caribbean
98,Laos,Southeastern Asia
99,Mongolia,Eastern Asia
100,Swaziland,Sub-Saharan Africa
101,Greece,Western Europe
102,Lebanon,Middle East and Northern Africa
103,Hungary,Central and Eastern Europe
104,Honduras,Latin America and Caribbean
105,Tajikistan,Central and Eastern Europe
106,Tunisia,Middle East and Northern Africa
107,Palestinian Territories,Middle East and Northern Africa
108,Bangladesh,Southern Asia
109,Iran,Middle East and Northern Africa
110,Ukraine,Central and Eastern Europe
111,Iraq,Middle East and Northern Africa
112,South Africa,Sub-Saharan Africa
113,Ghana,Sub-Saharan Africa
114,Zimbabwe,Sub-Saharan Africa
115,Liberia,Sub-Saharan Africa
116,India,Southern Asia
117,Sudan,Sub-Saharan Africa
118,Haiti,Latin America and Caribbean
119,Congo (Kinshasa),Sub-Saharan Africa
120,Nepal,Southern Asia
121,Ethiopia,Sub-Saharan Africa
122,Sierra Leone,Sub-Saharan Africa
123,Mauritania,Sub-Saharan Africa
124,Kenya,Sub-Saharan Africa
125,Djibouti,Sub-Saharan Africa
126,Armenia,Central and Eastern Europe
127,Botswana,Sub-Saharan Africa
128,Myanmar,Southeastern Asia
129,Georgia,Central and Eastern Europe
130,Malawi,Sub-Saharan Africa
131,Sri Lanka,Southern Asia
132,Cameroon,Sub-Saharan Africa
133,Bulgaria,Central and Eastern Europe
134,Egypt,Middle East and Northern Africa
135,Yemen,Middle East and Northern Africa
136,Angola,Sub-Saharan Africa
137,Mali,Sub-Saharan Africa
138,Congo (Brazzaville),Sub-Saharan Africa
139,Comoros,Sub-Saharan Africa
140,Uganda,Sub-Saharan Africa
141,Senegal,Sub-Saharan Africa
142,Gabon,Sub-Saharan Africa
143,Niger,Sub-Saharan Africa
144,Cambodia,Southeastern Asia
145,Tanzania,Sub-Saharan Africa
146,Madagascar,Sub-Saharan Africa
147,Central African Republic,Sub-Saharan Africa
148,Chad,Sub-Saharan Africa
149,Guinea,Sub-Saharan Africa
150,Ivory Coast,Sub-Saharan Africa
151,Burkina Faso,Sub-Saharan Africa
152,Afghanistan,Southern Asia
153,Rwanda,Sub-Saharan Africa
154,Benin,Sub-Saharan Africa
155,Syria,Middle East and Northern Africa
156,Burundi,Sub-Saharan Africa
157,Togo,Sub-Saharan Africa
14,Puerto Rico,Latin America and Caribbean
51,Belize,Latin America and Caribbean
75,Somalia,Sub-Saharan Africa
96,Somaliland Region,Sub-Saharan Africa
112,Namibia,Sub-Saharan Africa
142,South Sudan,Sub-Saharan Africa
